;$FILEVERSION=1.1
;$STARTTIME=44475.4114990394
;
;   C:\Users\uukucp\Desktop\log_reset_hmi\su12_resetr.trc
;
;   Start time: 06.10.2021 09:52:33.517.0
;   Generated by PCAN-View v4.2.5.569
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   454)      1943.1  Rx         0709  1  85 
   455)      1943.3  Rx         0749  0  RTR
   456)      1943.4  Rx         076D  0  RTR
   457)      1949.5  Rx         076D  1  85 
   458)      1972.8  Rx         070A  0  RTR
   459)      1973.1  Rx         074A  0  RTR
   460)      1973.3  Rx         076E  0  RTR
   461)      1973.7  Rx         0300  8  53 80 00 00 00 00 00 00 
   462)      1974.0  Rx         070A  1  05 
   463)      1977.4  Rx         074A  1  05 
   464)      1979.7  Rx         0294  8  93 00 00 00 00 00 00 00 
   465)      1982.8  Rx         076E  1  85 
   466)      2002.8  Rx         070B  0  RTR
   467)      2003.1  Rx         070B  1  05 
   468)      2003.3  Rx         074B  0  RTR
   469)      2003.5  Rx         076F  0  RTR
   470)      2006.8  Rx         074B  1  85 
   471)      2008.7  Rx         076F  1  85 
   472)      2023.1  Rx         0300  8  40 80 00 00 00 00 00 00 
   473)      2027.3  Rx         0281  8  80 00 00 00 00 00 00 00 
   474)      2032.9  Rx         070C  0  RTR
   475)      2033.0  Rx         074C  0  RTR
   476)      2033.3  Rx         070C  1  05 
   477)      2033.5  Rx         0770  0  RTR
   478)      2036.2  Rx         074C  1  85 
   479)      2038.5  Rx         0770  1  85 
   480)      2048.7  Rx         01E8  4  07 58 0C 00 
   481)      2055.6  Rx         0260  4  05 23 F6 02 
   482)      2056.3  Rx         0346  8  25 25 F6 02 00 00 00 00 
   483)      2062.9  Rx         070D  0  RTR
   484)      2063.1  Rx         070D  1  05 
   485)      2063.3  Rx         074D  0  RTR
   486)      2063.5  Rx         0771  0  RTR
   487)      2064.2  Rx         074D  1  85 
   488)      2072.8  Rx         0771  1  85 
   489)      2073.4  Rx         0300  8  41 80 00 00 00 00 00 00 
   490)      2083.7  Rx         0282  8  81 00 00 00 00 00 00 00 
   491)      2092.9  Rx         070E  0  RTR
   492)      2093.0  Rx         074E  0  RTR
   493)      2093.3  Rx         070E  1  85 
   494)      2093.5  Rx         0772  0  RTR
   495)      2094.1  Rx         074E  1  05 
   496)      2096.6  Rx         0772  1  85 
   497)      2122.9  Rx         070F  0  RTR
   498)      2123.1  Rx         070F  1  85 
   499)      2123.3  Rx         074F  0  RTR
   500)      2123.5  Rx         0773  0  RTR
   501)      2124.0  Rx         0300  8  42 80 00 00 00 00 00 00 
   502)      2126.2  Rx         074F  1  85 
   503)      2133.1  Rx         0773  1  85 
   504)      2133.7  Rx         0283  8  82 00 00 00 00 00 00 00 
   505)      2152.8  Rx         0710  0  RTR
   506)      2153.1  Rx         0710  1  85 
   507)      2153.3  Rx         0750  0  RTR
   508)      2153.5  Rx         0774  0  RTR
   509)      2155.2  Rx         0750  1  05 
   510)      2160.4  Rx         0774  1  85 
   511)      2173.2  Rx         0300  8  43 80 00 00 00 00 00 00 
   512)      2179.8  Rx         0284  8  83 00 00 00 00 00 00 00 
   513)      2182.8  Rx         0711  0  RTR
   514)      2183.1  Rx         0711  1  85 
   515)      2183.3  Rx         0751  0  RTR
   516)      2183.6  Rx         0751  1  85 
   517)      2193.1  Rx         01F1  4  10 58 03 00 
   518)      2212.9  Rx         0712  0  RTR
   519)      2213.0  Rx         0752  0  RTR
   520)      2213.3  Rx         0761  0  RTR
   521)      2213.8  Rx         0712  1  05 
   522)      2217.7  Rx         0752  1  85 
   523)      2221.2  Rx         0761  1  05 
   524)      2223.2  Rx         0300  8  44 80 00 00 00 00 00 00 
   525)      2231.0  Rx         0285  8  84 00 00 00 00 00 00 00 
   526)      2242.9  Rx         0713  0  RTR
   527)      2243.1  Rx         0713  1  05 
   528)      2243.3  Rx         0753  0  RTR
   529)      2243.5  Rx         0762  0  RTR
   530)      2246.1  Rx         0753  1  85 
   531)      2248.2  Rx         0762  1  05 
   532)      2272.9  Rx         0714  0  RTR
   533)      2273.1  Rx         0714  1  05 
   534)      2273.3  Rx         0763  0  RTR
   535)      2273.8  Rx         0300  8  45 80 00 00 00 00 00 00 
